DATE,STATE,CHANNEL,Average Sale,Difference in Sale,GAME
9/12/2015,Maryland,DRUG STORE,656.0270086,-26544.74,Away(2015)-Home(2014)
10/17/2015,Maryland,DRUG STORE,778.7966453,-10192.51,Away(2015)-Home(2014)
11/28/2015,Maryland,DRUG STORE,652.674765,4933.39,Away(2015)-Home(2014)
9/12/2015,Maryland,GROCERY,1694.146667,-3004.28,Away(2015)-Home(2014)
10/17/2015,Maryland,GROCERY,2154.32772,8895.6,Away(2015)-Home(2014)
11/28/2015,Maryland,GROCERY,1736.80114,13497.18,Away(2015)-Home(2014)
9/12/2015,Maryland,MASS MERCHANDISER,903.1726905,-11842.09,Away(2015)-Home(2014)
10/17/2015,Maryland,MASS MERCHANDISER,1160.402429,-2995.38,Away(2015)-Home(2014)
11/28/2015,Maryland,MASS MERCHANDISER,914.9071191,-5943.11,Away(2015)-Home(2014)
9/12/2015,Maryland,CONVENIENCE STORE,666.9769444,2510.73,Away(2015)-Home(2014)
10/17/2015,Maryland,CONVENIENCE STORE,678.2058334,782.49,Away(2015)-Home(2014)
11/28/2015,Maryland,CONVENIENCE STORE,613.3861111,1880.34,Away(2015)-Home(2014)
9/12/2015,Maryland,DRUG STORE,466.6963333,-1774.26,Away(2015)-Home(2014)
10/17/2015,Maryland,DRUG STORE,579.2563334,-1167.26,Away(2015)-Home(2014)
11/28/2015,Maryland,DRUG STORE,959.6733334,4783.84,Away(2015)-Home(2014)
9/12/2015,Maryland,GROCERY,2055.3,-5558.48,Away(2015)-Home(2014)
10/17/2015,Maryland,GROCERY,2469.318959,-1542.01,Away(2015)-Home(2014)
11/28/2015,Maryland,GROCERY,2109.379584,-5381.54,Away(2015)-Home(2014)
9/12/2015,Maryland,MASS MERCHANDISER,534.8785119,-1174.67,Away(2015)-Home(2014)
10/17/2015,Maryland,MASS MERCHANDISER,657.6750595,-2359.99,Away(2015)-Home(2014)
11/28/2015,Maryland,MASS MERCHANDISER,493.5393453,-1903.49,Away(2015)-Home(2014)
9/12/2015,Maryland,CONVENIENCE STORE,394.4609722,-770.03,Away(2015)-Home(2014)
10/17/2015,Maryland,CONVENIENCE STORE,396.7752778,311.2,Away(2015)-Home(2014)
11/28/2015,Maryland,CONVENIENCE STORE,482.8488095,1766,Away(2015)-Home(2014)
9/12/2015,Maryland,DRUG STORE,711.9578823,-21451.21,Away(2015)-Home(2014)
10/17/2015,Maryland,DRUG STORE,871.3305964,4177,Away(2015)-Home(2014)
11/28/2015,Maryland,DRUG STORE,909.761552,40616.77,Away(2015)-Home(2014)
9/12/2015,Maryland,GROCERY,1868.447501,44178.6,Away(2015)-Home(2014)
10/17/2015,Maryland,GROCERY,2392.907282,61693.69,Away(2015)-Home(2014)
11/28/2015,Maryland,GROCERY,2025.332093,13456.08,Away(2015)-Home(2014)
9/12/2015,Maryland,MASS MERCHANDISER,1386.018316,-28080.99,Away(2015)-Home(2014)
10/17/2015,Maryland,MASS MERCHANDISER,2119.671026,-6889.4,Away(2015)-Home(2014)
11/28/2015,Maryland,MASS MERCHANDISER,1589.315039,21508.88,Away(2015)-Home(2014)
9/12/2015,Maryland,WHOLESALE CLUB,10897.06203,3576.83,Away(2015)-Home(2014)
10/17/2015,Maryland,WHOLESALE CLUB,16336.23266,9836.63,Away(2015)-Home(2014)
11/28/2015,Maryland,WHOLESALE CLUB,11367.41172,20690.85,Away(2015)-Home(2014)
9/12/2015,Maryland,DRUG STORE,397.7102083,-1637.53,Away(2015)-Home(2014)
10/17/2015,Maryland,DRUG STORE,436.1330556,-651.36,Away(2015)-Home(2014)
11/28/2015,Maryland,DRUG STORE,587.2969445,3573.66,Away(2015)-Home(2014)
9/12/2015,Maryland,GROCERY,1433.92007,14588.85,Away(2015)-Home(2014)
10/17/2015,Maryland,GROCERY,1391.325695,582.08,Away(2015)-Home(2014)
11/28/2015,Maryland,GROCERY,1208.315985,6420.57,Away(2015)-Home(2014)
9/12/2015,Maryland,MASS MERCHANDISER,497.5439667,761.79,Away(2015)-Home(2014)
10/17/2015,Maryland,MASS MERCHANDISER,600.3120333,2634.93,Away(2015)-Home(2014)
